Participant,Format,FixationIndex,FixationDuration,treebg,treetotal,treerainy,treesunny,treerl,treerh,treesl,treesh,treequestion,vennbg,vennrh,vennrl,vennsl,venntotal,vennquestion
3,tree,3,400,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,4,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,5,200,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,6,633,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,7,100,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,8,200,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
3,tree,9,233,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
3,tree,10,400,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
3,tree,11,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,12,83,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,13,133,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,14,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,15,100,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,16,133,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
3,tree,17,117,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
3,tree,18,283,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,19,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,20,217,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,21,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,22,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,23,333,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,24,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,25,100,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
3,tree,26,167,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,27,183,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,28,100,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,29,200,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
3,tree,30,233,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,31,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,32,100,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
3,tree,33,150,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,34,283,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,35,200,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
3,tree,36,200,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,37,183,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,38,200,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
3,tree,39,83,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,40,83,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,41,133,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
3,tree,42,150,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
3,tree,43,134,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
4,tree,1,150,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,2,217,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,3,200,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,4,167,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,5,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
4,tree,6,83,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,7,217,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,8,133,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,9,217,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,10,250,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
4,tree,11,200,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
4,tree,12,100,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
4,tree,13,150,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
4,tree,14,117,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,15,117,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,16,133,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,17,133,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,18,100,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,19,133,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,20,133,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,21,200,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
4,tree,22,150,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,23,233,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,24,483,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,25,150,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,26,100,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
4,tree,27,166,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,28,83,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,29,150,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,30,100,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,31,333,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,32,117,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
4,tree,33,283,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,34,233,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,35,283,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,36,183,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,37,183,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,38,167,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,39,200,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,40,100,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
4,tree,41,183,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
5,tree,1,117,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,2,233,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,3,417,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,4,133,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,5,150,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,6,100,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
5,tree,7,83,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
